Zone,Disp_quanti_kg/per/an,Disp_alim_Kcal/per/jour,Disp_prot_g/per/jour,TAS (%),TDI (%),Croissance démographique (%),Croissance_Pib_(%)
Afghanistan,1.53,5.0,0.54,49.122807017543856,50.877192982456144,16.477889166383402,4.86579
Afrique du Sud,35.69,143.0,14.11,78.7063267233239,24.268177525967893,7.9062802405284955,17.7038
Albanie,16.36,85.0,6.26,27.659574468085108,80.85106382978722,-1.0269737167203872,9.765944
Algérie,6.38,22.0,1.97,99.27797833935018,0.7220216606498195,10.713955835795073,6.287893
Allemagne,19.47,71.0,7.96,87.0615296147211,48.4186313973548,2.081914644044902,6.441277
Angola,10.56,35.0,3.6,13.166144200626958,86.83385579937304,18.754372871265254,20.766647
Antigua-et-Barbuda,54.1,233.0,17.77,0.0,100.0,5.549226293842422,2.185223
Arabie saoudite,43.36,151.0,15.57,42.926829268292686,50.31358885017422,13.535560060229995,6.768181
Argentine,42.24,182.0,13.53,110.1427115188583,0.40774719673802245,5.225562825761842,15.442348
Arménie,16.06,54.0,5.44,23.404255319148938,74.46808510638297,2.0995869267195464,9.305043
Australie,47.65,192.0,16.6,108.36891545687446,1.3663535439795047,7.337913970115539,8.013322
Autriche,18.2,65.0,7.49,85.54913294797689,63.58381502890174,3.736362249561192,5.483879
Azerbaïdjan,13.11,44.0,4.45,80.62015503875969,20.930232558139537,6.26710526372599,7.921474
Bahamas,43.17,182.0,14.61,23.076923076923077,92.3076923076923,4.997744675233232,4.419245
Bangladesh,1.5,7.0,0.47,99.6,0.0,5.747917302666224,9.487237
Barbade,46.78,199.0,15.33,88.23529411764706,11.76470588235294,0.8921364394203777,3.078467
Belgique,12.65,44.0,4.57,304.60526315789474,222.3684210526316,3.0165015870484235,5.680656
Belize,25.69,110.0,8.26,105.26315789473684,0.0,11.174260355029588,1.230566
Bolivie (État plurinational de),36.0,155.0,11.43,124.24242424242425,0.2331002331002331,7.855120934590752,10.511015
Bosnie-Herzégovine,16.7,56.0,5.66,110.9090909090909,18.181818181818183,-7.030484564096478,6.903897
Botswana,3.39,12.0,1.19,71.42857142857143,42.857142857142854,8.115687924234484,6.779399
Brésil,48.03,204.0,15.68,142.2660789420958,0.030054097375275493,4.288544248873585,14.914653
Bulgarie,22.06,81.0,8.74,68.15286624203821,68.78980891719745,-3.1573344052354395,9.727448
Burkina Faso,2.27,8.0,0.77,100.0,0.0,15.822466774238494,9.924132
Bélarus,27.98,95.0,9.41,174.7169811320755,7.9245283018867925,0.3523928841379716,14.671728
